link,year,mileage,engine_capacity,fuel_type,price
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mega-zadbany-kombi-bez-rdzy-ID6Gz6ZP.html,2001,354 800 km,1 753 cm3,Diesel,4 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2015r-1-5d-95-km-klimatronik-alu-zadbany-z-belgii-ID6GjUVY.html,2014,140 000 km,1 498 cm3,Diesel,33 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-145km-kamera-cofania-klima-tempomat-ID6Gtvb7.html,2015,239 800 km,1 498 cm3,Diesel,29 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-benzyna-101km-klimatronik-serwis-piekny-z-niemiec-ID6GjTmW.html,2008,212 000 km,1 596 cm3,Benzyna,16 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-titanium-klimatronic-asystent-parkowania-120112-przejechane-ID6GhrOS.html,2013,121 112 km,998 cm3 •,Benzyna,21 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-2014-benzyna-nawigacja-klimatronic-asystent-parkowania-ID6GtxD5.html,2014,152 355 km,998 cm3 •,Benzyna,21 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0-tdci-automat-nawigacja-kamera-klimatronik-ID6GoCaw.html,2012,186 000 km,1 998 cm3,Diesel,24 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-st-ID6GimGS.html,2015,146 000 km,1 999 cm3,Benzyna,45 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-diesel-serwisowany-super-stan-ID6GufZq.html,2013,187 000 km,1 560 cm3,Diesel,23 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-2007-1-8-tdci-kombi-polski-salon-ID6Gz55a.html,2007,403 000 km,1 753 cm3,Diesel,4 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-grzane-fotele-navi-tempomat-czujniki-klima-led-gwarancja-ID6Gy27Q.html,2016,206 800 km,1 498 cm3,Diesel,37 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-sprzedam-ford-focus-mk2-1-8-diesel-ID6Gz4YV.html,2008,250 000 km,1 753 cm3,Diesel,4 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-5-ecoboost-st-line-kombi-led-navi-carplay-ID6Gs2Wd.html,2019,91 000 km,1 496 cm3,Benzyna,84 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-ID6Gz4Gj.html,2016,189 350 km,1 498 cm3,Diesel,29 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-fokus-1-0-z-malym-przebiegiem-ID6Gz4E3.html,2014,65 318 km,998 cm3 •,Benzyna,30 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0-tdci-automat-dobrze-wyposazony-ID6Gz4vU.html,2014,147 000 km,1 997 cm3,Diesel,26 100
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-kombi-2014-klimatyzacja-benzyna-ID6GoIOD.html,2014,199 257 km,998 cm3 •,Benzyna,21 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-w-swietnym-stanie-technicznym-ID6Gz3DI.html,2016,110 000 km,1 499 cm3,Benzyna,49 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-lift-ID6FqWmb.html,2017,137 000 km,1 498 cm3,Diesel,39 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-stan-perfekcyjny-ID6EWF1z.html,2018,64 000 km,1 498 cm3,Benzyna,64 600
https://www.otomoto.pl/osobowe/oferta/ford-focus-automat-kamera-full-led-b-o-panorama-dach-182km-ID6Gz3kE.html,2019,131 000 km,1 498 cm3,Benzyna,73 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-ktory-przyciaga-spojrzenie-ID6Gz3iD.html,2013,230 000 km,1 999 cm3,Benzyna+LPG,56 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-stan-idealny-polski-salon-bezwypadkowy-nawigacja-ID6Gz3it.html,2020,190 461 km,999 cm3 •,Benzyna,55 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-kombi-1-5-ecoblue-active-120-km-ID6Guzl3.html,2018,218 000 km,1 498 cm3,Diesel,32 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk4-pl-aso-ID6Gz34T.html,2019,86 000 km,1 498 cm3,Diesel,56 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-prywatne-zadbany-ID6Gz2ss.html,2012,330 865 km,1 560 cm3,Diesel,21 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0-tdci-w-bardzo-dobrym-stanie-wizualnym-ID6GsA5z.html,2008,301 000 km,1 997 cm3,Diesel,4 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-ID6GjPMi.html,2014,220 840 km,1 560 cm3,Diesel,18 480
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2017-1-6-duratec-super-stan-ID6Gm2AJ.html,2017,42 600 km,1 596 cm3,Benzyna,45 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-stan-idealny-ID6GvQGY.html,2007,212 020 km,1 560 cm3,Diesel,9 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6tdci-pierwszy-wlasciciel-salon-polska-ID6Gy9PB.html,2014,230 300 km,1 560 cm3,Diesel,21 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-16v-hak-klima-alu-ID6GxVN2.html,2003,214 813 km,1 596 cm3,Benzyna,3 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-faktura-vat-ID6GqECE.html,2015,262 000 km,1 498 cm3,Diesel,25 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-8-tdci-salon-polska-klimatronic-alu-el-szyby-ID6GxVzy.html,2004,316 332 km,1 753 cm3,Diesel,4 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-wersja-po-liftingu-ID6GupGa.html,2015,162 094 km,999 cm3 •,Benzyna,34 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-ID6GeXXE.html,2012,230 230 km,1 596 cm3,Benzyna,19 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-absolutny-unikat-125ps-st-line-lift-led-klimatronic-alu-17-ID6GyFpU.html,2016,290 000 km,998 cm3 •,Benzyna,23 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-kombi-prywatne-drugi-wlasciciel-ID6Gz0Qa.html,2012,224 565 km,1 596 cm3,Benzyna,23 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-zadbany-stan-b-db-i-multimedia-ID6Gk3uc.html,2009,225 000 km,1 596 cm3,Benzyna,16 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6tdci-navi-alu-ID6Gy4qY.html,2011,256 000 km,1 560 cm3,Diesel,16 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-salon-polska-ID6GoXU8.html,2017,194 000 km,1 498 cm3,Diesel,33 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-aso-ford-wymieniony-kompletny-rozrzad-ID6GxPHt.html,2015,215 155 km,1 498 cm3,Diesel,28 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-stan-salon-potw-przebieg-aso-bogata-wersja-z-niemiec-oplacony-ID6Gva7b.html,2011,192 285 km,1 596 cm3,Benzyna,17 450
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ghia-mk2-2005-hatchback-opony-zimowe-gratis-ID6GyYRp.html,2005,186 000 km,1 596 cm3,Benzyna,8 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-tdci-ID6GyYOO.html,2011,268 860 km,1 560 cm3,Diesel,17 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-polska-titanium-ass-1-5-150km-bezposredni-wtrysk-gazu-prins-ID6GyYLL.html,2017,155 905 km,1 499 cm3,Benzyna+LPG,47 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0-ecoboost-st-mk3-ID6GyYL4.html,2015,135 873 km,1 999 cm3,Benzyna,64 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6Fu7DY.html,2017,99 000 km,2 300 cm3,Benzyna,109 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-st-line-automat-led-navi-super-stan-polecam-ID6GyYuy.html,2018,146 477 km,1 498 cm3,Benzyna,46 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-klasyczny-ford-focus-mk3-1596-ID6GyY1H.html,2011,166 466 km,1 596 cm3,Benzyna,24 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-titanium-x-wersja-max-skory-ID6GhNoY.html,2014,210 000 km,998 cm3 •,Benzyna,12 700
https://www.otomoto.pl/osobowe/oferta/ford-focus-2012-r-2-0-tdci-163-km-kombi-skora-xenon-ledy-alu-klima-serwis-warto-ID6GyXIm.html,2012,238 683 km,1 997 cm3,Diesel,27 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ladny-stan-niski-przebieg-ID6GyXow.html,2012,135 000 km,1 596 cm3,Benzyna,33 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-6-ID6GyXsv.html,2006,336 300 km,1 596 cm3,Benzyna,10 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-0-ecoboost-start-stop-system-titanium-ID6GyXrt.html,2016,49 257 km,999 cm3 •,Benzyna,53 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-polska-ID6GyXk1.html,2017,88 298 km,2 300 cm3,Benzyna,149 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-115km-1-6-tdci-kombi-srebrny-ID6GyXg2.html,2014,249 393 km,1 560 cm3,Diesel,22 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-kombi-mk1-benzyna-1-6-salon-pl-od-nowosci-w-rodzinie-super-stan-ID6GyXeh.html,2002,198 000 km,1 596 cm3,Benzyna,4 700
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-2-0tdci-140ps-navi-kamera-key-less-2xpdc-alu16-chrom-ID6GyVU6.html,2013,147 400 km,1 998 cm3,Diesel,28 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-mk4-2019-37600km-1-5-ecoboost-150km-ID6GyVRA.html,2019,37 600 km,1 499 cm3,Benzyna,72 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ii-ID6GyVQ1.html,2011,280 000 km,1 560 cm3,Diesel,10 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-auto-z-rynku-norweskiego-nowy-silnik-ID6GmvIY.html,2014,145 000 km,998 cm3 •,Benzyna,23 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-5-ecoblue-trend-salonpolska-vat-marza-ID6G29Db.html,2020,51 262 km,1 498 cm3,Diesel,64 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-focus-st-line-zarejestrowany-oplacony-ID6GnQnA.html,2020,180 000 km,1 499 cm3,Benzyna,62 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-8-diesel-2008r-ID6GiukR.html,2008,200 000 km,1 753 cm3,Diesel,9 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-2013-ID6GgYmh.html,2013,190 000 km,1 560 cm3,Diesel,19 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-bezwypadkowy-1-wlasciciel-doinwestowany-oplacony-bdb-ID6GyVaW.html,2013,151 702 km,998 cm3 •,Benzyna,19 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2008-1-6-lift-115-km-benzyna-klimatronik-alusy-tempomat-z-niemiec-ID6GyLHB.html,2008,197 516 km,1 596 cm3,Benzyna,9 950
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-100km-klimatronic-el-szyby-tempomat-el-lusterka-ID6GyWoT.html,2009,175 000 km,1 596 cm3,Benzyna,12 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-bezwypadkowy-max-wyposazony-zadbany-ID6Guj33.html,2014,164 000 km,1 997 cm3,Diesel,27 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-okazja-ford-focus-mk3-ID6GyUZK.html,2011,257 000 km,1 560 cm3,Diesel,16 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6GyTKT.html,2010,219 000 km,1 560 cm3,Diesel,11 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-led-navi-bleutooth-usb-ID6G7kfV.html,2015,186 000 km,1 498 cm3,Diesel,27 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-105km-titanium-bezwypadkowy-1-wlasciciel-serwisowany-w-aso-alu-ID6GyT8w.html,2011,248 570 km,1 596 cm3,Benzyna,23 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-8-tdci-2007-ID6GySyu.html,2007,263 309 km,1 753 cm3,Diesel,9 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-16v-100km-duratec-klima-oplacony-ID6GySvk.html,2006,191 430 km,1 596 cm3,Benzyna,10 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-100km-100-bezwypadkowy-ks-serwisowa-pelen-serwis-klima-alu-ID6GySwb.html,2011,152 000 km,1 596 cm3,Benzyna,21 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-stan-bdb-ubezp-i-przeglad-do-06-2025-2-0-diesel-140-km-automat-ID6GySpM.html,2013,265 000 km,1 997 cm3,Diesel,28 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-bezwypadkowy-faktura-vat-23-pakiet-gold-ID6Goi8R.html,2017,189 000 km,1 499 cm3,Benzyna,39 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-nawigacja-ksiazka-serwisowa-nowy-rozrzad-olej-filtry-ID6Gu1kH.html,2015,188 500 km,1 499 cm3,Diesel,29 990
https://www.otomoto.pl/osobowe/oferta/ford-focus-salon-polska-benzyna-150-km-serwisowany-na-biezaco-ID6GyQsk.html,2013,301 780 km,1 596 cm3,Benzyna,18 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-klima-elektryka-alufelgi-grzanaszyba-halogeny-ID6Gu9kD.html,2011,158 000 km,1 596 cm3,Benzyna,24 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-8-tdci-gold-x-ID6Go698.html,2008,230 000 km,1 753 cm3,Diesel,13 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-salon-serwisowany-stan-idealny-bezwypadkowy-ID6GyQ6m.html,2016,146 849 km,1 498 cm3,Diesel,31 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2-0-benzyna-145km-ID6GyQ75.html,2008,218 500 km,1 999 cm3,Benzyna,12 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-lift-1-0-benzyna-po-wym-rozrzadu-bezwypadkowy-zarejestrowany-serwis-ID6GyPNJ.html,2014,149 800 km,999 cm3 •,Benzyna,29 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-11-okazja-ID6GpkVy.html,2011,124 811 km,1 596 cm3,Benzyna,22 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-ecoboost-150km-ID6GtTjU.html,2012,226 000 km,1 596 cm3,Benzyna,28 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-gold-x-niski-przebieg-ID6GdKqq.html,2017,41 800 km,1 596 cm3,Benzyna,46 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6GklEh.html,2013,328 000 km,1 560 cm3,Diesel,17 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-titanium-st-line-ID6Gtcz8.html,2016,180 000 km,1 498 cm3,Benzyna,46 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6GyNkl.html,2013,138 276 km,999 cm3 •,Benzyna,16 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk2-ID6Gyuxk.html,2005,241 000 km,1 997 cm3,Diesel,7 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-tdci-salon-polska-serwis-aso-klima-tempomat-ID6GyN9J.html,2012,230 970 km,1 560 cm3,Diesel,19 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-w-bardzo-bogatej-wersji-pierwszy-wlasciciel-w-polsce-ID6GyMSD.html,2012,165 000 km,998 cm3 •,Benzyna,20 400
https://www.otomoto.pl/osobowe/oferta/ford-focus-lift-1-0-benzyna-po-wym-rozrzadu-bezwypadkowy-zarejestrowany-serwis-ID6Gs7cL.html,2015,128 539 km,999 cm3 •,Benzyna,32 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-uzytkownik-stan-bardzo-dobry-ID6GkOjp.html,2014,217 400 km,1 560 cm3,Diesel,25 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ID6GwMZD.html,2015,270 000 km,1 560 cm3,Diesel,23 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-1-6-tdci-ID6GyYOO.html,2011,268 860 km,1 560 cm3,Diesel,17 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-st-hatchback-ID6G5ZQ4.html,2017,178 500 km,1 999 cm3,Benzyna,59 200
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-faktura-vat-ID6GqECE.html,2015,262 000 km,1 498 cm3,Diesel,25 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-lift-1-0-benzyna-nawigacja-bezwypadkowy-zarejestrowany-ID6GtXTr.html,2017,140 100 km,999 cm3 •,Benzyna,35 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-ID6GjPMi.html,2014,220 840 km,1 560 cm3,Diesel,18 480
https://www.otomoto.pl/osobowe/oferta/ford-focus-pierwszy-wlasciciel-serwis-aso-salon-polska-ID6GuJ8F.html,2018,181 700 km,1 498 cm3,Diesel,45 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-5d-2007-r-gaz-ID6GyF1I.html,2007,239 000 km,1 388 cm3,Benzyna+LPG,9 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-lift-1-6tdci-90ps-nietuzinkowy-stan-pakiet-sport-po-oplatach-ID6GyBIN.html,2009,255 000 km,1 560 cm3,Diesel,16 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-vignale-salon-polska-vat-23-bezwypadkowy-ID6GyxnC.html,2019,160 000 km,1 498 cm3,Diesel,75 899
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-8-tdci-gold-x-ID6Go698.html,2008,230 000 km,1 753 cm3,Diesel,13 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-titanium-x-navi-led-bezwpadek-led-ID6GdLEI.html,2015,168 000 km,1 560 cm3,Diesel,38 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-1-8-diesel-2008r-ID6GiukR.html,2008,200 000 km,1 753 cm3,Diesel,9 000
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-benzyna-101km-klimatronik-serwis-piekny-z-niemiec-ID6GjTmW.html,2008,212 000 km,1 596 cm3,Benzyna,16 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-kombi-2019-polska-salon-vat-23-bezwypadek-ID6Gt0e6.html,2019,147 000 km,999 cm3 •,Benzyna,39 399
https://www.otomoto.pl/osobowe/oferta/ford-focus-grzane-fotele-navi-tempomat-czujniki-klima-led-gwarancja-ID6Gy27Q.html,2016,206 800 km,1 498 cm3,Diesel,37 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-mk3-salon-polska-ID6GoXU8.html,2017,194 000 km,1 498 cm3,Diesel,33 999
https://www.otomoto.pl/osobowe/oferta/ford-focus-ford-focus-ii-ID6GyVQ1.html,2011,280 000 km,1 560 cm3,Diesel,10 500
https://www.otomoto.pl/osobowe/oferta/ford-focus-1-6-tdci-nowe-turbo-klimatronik-titanium-ID6GtpGk.html,2008,201 000 km,1 560 cm3,Diesel,10 800
https://www.otomoto.pl/osobowe/oferta/ford-focus-connected-sedan-1-0-ecoboost-125km-aso-forda-gwarancja-ID6GfYvJ.html,2020,24 000 km,999 cm3 •,Benzyna,69 900
https://www.otomoto.pl/osobowe/oferta/ford-focus-2014-benzyna-nawigacja-klimatronic-asystent-parkowania-ID6GtxD5.html,2014,152 355 km,998 cm3 •,Benzyna,21 500
